Issue Type, Epic Name, Summary, Description, Priority, Status, Assignee, Due Date
Epic, Frontend Development, UI/UX Design, Design and develop all UI/UX components, Must Have, To Do, , 
Story, Frontend Development, Refine Login/Signup UI, Improve user interface for login and signup, Must Have, To Do, , 
Task, Frontend Development, Design login form, Use Figma to refine login form layout, Must Have, To Do, , 
Task, Frontend Development, Code signup form, Develop signup form using React Native, Must Have, To Do, , 
Epic, Frontend Development, Landing Page, Develop landing page components and design, Should Have, To Do, , 
Story, Frontend Development, Add Logo to Application, Integrate company logo into landing page, Should Have, To Do, , 
Task, Frontend Development, Design Logo Placement, Use Figma to design logo placement on landing page, Should Have, To Do, , 
Task, Frontend Development, Code Logo Integration, Implement logo in React Native, Should Have, To Do, , 
Epic, Frontend Development, Navigation, Develop navigation components, Must Have, To Do, , 
Story, Frontend Development, Bottom Navigation Bar, Implement bottom navigation for app, Must Have, To Do, , 
Task, Frontend Development, Design Navigation Bar, Design layout for bottom navigation bar, Must Have, To Do, , 
Task, Frontend Development, Code Navigation Bar, Develop navigation bar in React Native, Must Have, To Do, , 
Epic, Backend Development, Backend Setup, Set up backend services and database integration, Must Have, Complete, Roman, 2025-02-28
Story, Backend Development, Store Signup Credentials, Securely store user credentials in database, Must Have, Complete, Roman, 2025-02-28
Task, Backend Development, Set up MongoDB, Configure MongoDB Atlas for user data storage, Must Have, Complete, Roman, 2025-02-28
Task, Backend Development, Implement password hashing, Use bcrypt for password security, Must Have, Complete, Roman, 2025-02-28
Epic, Marketplace, Main Marketplace Development, Build the core marketplace features, Must Have, To Do, , 
Story, Marketplace, User Marketplace Features, Develop features for main users, Must Have, To Do, , 
Task, Marketplace, Design User Interface, Create UI for user marketplace interaction, Must Have, To Do, , 
Task, Marketplace, Implement Product Listings, Allow users to browse and search product listings, Must Have, To Do, , 
Task, Marketplace, Add to Cart Functionality, Enable users to add items to cart, Must Have, To Do, , 
Story, Marketplace, Retailer Marketplace Features, Develop features for retailers, Must Have, To Do, , 
Task, Marketplace, Retailer Dashboard, Create dashboard for retailers to manage listings, Must Have, To Do, , 
Task, Marketplace, Inventory Management, Implement inventory management for retailers, Must Have, To Do, , 
Task, Marketplace, Order Processing, Enable order processing for retailers, Must Have, To Do, , 
Epic, Community Feed, Community Interaction, Develop community feed features, Should Have, To Do, , 
Story, Community Feed, Community Posts, Allow users to create and view community posts, Should Have, To Do, , 
Task, Community Feed, Design Community Feed UI, Design UI for community feed, Should Have, To Do, , 
Task, Community Feed, Implement Posting Feature, Enable users to post in the community feed, Should Have, To Do, , 
Task, Community Feed, Integrate with Marketplace, Connect community feed with marketplace features, Should Have, To Do, , 
Epic, Marketplace Features, Search and Filters, Implement search and filter features, Should Have, To Do, , 
Story, Marketplace Features, Search Bar, Develop search bar for community and marketplace, Should Have, To Do, , 
Task, Marketplace Features, Design Search Bar, Design layout for search bar, Should Have, To Do, , 
Task, Marketplace Features, Code Search Bar, Implement search bar functionality, Should Have, To Do, , 
Story, Marketplace Features, Filters for Posts, Add filters for community and marketplace posts, Should Have, To Do, , 
Task, Marketplace Features, Design Filter Options, Design filter options for posts, Should Have, To Do, , 
Task, Marketplace Features, Code Filter Logic, Implement filter logic for posts, Should Have, To Do, , 
Epic, User Profiles, Profile Management, Develop user profile features and settings, Must Have, To Do, , 
Story, User Profiles, User Profile Screen, Design and implement user profile interface, Must Have, To Do, , 
Task, User Profiles, Design Profile Screen, Use Figma to design profile screen layout, Must Have, To Do, , 
Task, User Profiles, Code Profile Screen, Develop profile screen in React Native, Must Have, To Do, , 
Epic, Listings, Item Listings, Develop item listing features, Must Have, To Do, , 
Story, Listings, Post Food Photos and Description, Allow users to post photos and descriptions of food, Must Have, To Do, , 
Task, Listings, Design Post Layout, Design layout for posting food items, Must Have, To Do, , 
Task, Listings, Code Post Functionality, Implement functionality for posting food items, Must Have, To Do, , 
Epic, Orders, Order Management, Develop order management features, Must Have, To Do, , 
Story, Orders, Process Payment and Update Database, Handle payment processing and update database, Must Have, To Do, , 
Task, Orders, Integrate Payment Gateway, Connect app to payment gateway like Stripe, Must Have, To Do, , 
Task, Orders, Code Payment Logic, Implement payment processing logic, Must Have, To Do, , 
Task, Orders, Update Order Database, Update database with order information, Must Have, To Do, , 
Epic, Messaging, User Messaging, Implement messaging features for user communication, Must Have, To Do, , 
Story, Messaging, Direct Messaging for Users, Enable direct messaging between users, Must Have, To Do, , 
Task, Messaging, Design Messaging Interface, Design UI for messaging feature, Must Have, To Do, , 
Task, Messaging, Code Messaging Functionality, Implement messaging functionality, Must Have, To Do, , 
Epic, Cart, Shopping Cart, Develop shopping cart features, Must Have, To Do, , 
Story, Cart, Add Item to Cart, Implement functionality to add items to cart, Must Have, To Do, , 
Task, Cart, Design Cart Interface, Design UI for shopping cart, Must Have, To Do, , 
Task, Cart, Code Add-to-Cart Feature, Implement add-to-cart logic, Must Have, To Do, , 
Epic, Notifications, User Notifications, Implement notification system for user activities, Should Have, To Do, , 
Story, Notifications, Notification System, Create system for sending notifications to users, Should Have, To Do, , 
Task, Notifications, Design Notification UI, Design user interface for notifications, Should Have, To Do, , 
Task, Notifications, Code Notification Logic, Implement backend logic for notifications, Should Have, To Do, , 
Epic, UI/UX Enhancements, UI/UX Improvements, Enhance overall UI/UX for better user experience, Could Have, To Do, , 
Story, UI/UX Enhancements, UI/UX Audit, Conduct an audit of the current UI/UX, Could Have, To Do, , 
Task, UI/UX Enhancements, Identify UI/UX Improvements, List areas for improvement, Could Have, To Do, , 
Task, UI/UX Enhancements, Implement UI/UX Changes, Make changes based on audit findings, Could Have, To Do, , 